Title,Minutes Played,Hours Played,Release Date,Developers,Publishers,Metascore
DiRT 3,105,1.75,23-May-11,Codemasters Racing Studio,Codemasters,86
Brothers - A Tale of Two Sons,104,1.74,3-Sep-13,Starbreeze Studios AB,505 Games,90
Gone Home,104,1.74,15-Aug-13,"The Fullbright Company,                                                                       Fullbright","The Fullbright Company,                                                                       Fullbright",86
Shadow Warrior Classic Redux,102,1.7,8-Jul-13,"3D Realms,                                                                       General Arcade",Devolver Digital,
Insurgency,99,1.65,22-Jan-14,New World Interactive,New World Interactive,74
LEGO® Worlds,93,1.55,7-Mar-17,"TT Games,                                                                       Traveller's Tales",Warner Bros. Interactive Entertainment,
The Walking Dead,92,1.54,24-Apr-12,Telltale Games,Telltale Games,82
STAR WARS™: Dark Forces,91,1.52,16-Sep-09,LucasArts,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",
Saints Row 2,91,1.52,7-Jan-09,Volition,Deep Silver,72
Enemy Mind,91,1.52,6-Jun-14,Schell Games,Schell Games,
Punch Club,90,1.5,8-Jan-16,Lazy Bear Games,tinyBuild,73
Burnout Paradise: The Ultimate Box,88,1.47,12-Mar-09,Criterion Games,Electronic Arts,87
Titan Quest Anniversary Edition,86,1.44,31-Aug-16,"Iron Lore Entertainment,                                                                       THQ Nordic",THQ Nordic,
Poker Night 2,85,1.42,26-Apr-13,Telltale Games,Telltale Games,75
Divekick,85,1.42,20-Aug-13,"Iron Galaxy Studios,                                                                       Iron Galaxy","Iron Galaxy Studios,                                                                       Iron Galaxy",73
Cave Story+,84,1.4,22-Nov-11,"Nicalis,                                                                       Studio Pixel,                                                                       Nicalis, Inc.","Nicalis,                                                                       Nicalis, Inc.",83
Supreme Commander: Forged Alliance,80,1.34,28-Sep-11,Gas Powered Games,"Nordic Games,                                                                       Square Enix",81
METAL SLUG 3,80,1.34,14-Feb-14,"DotEmu,                                                                       SNK CORPORATION","SNK Playmore,                                                                       SNK CORPORATION",
BioShock 2,79,1.32,9-Feb-10,"2K Marin,                                                                       2K China,                                                                       Digital Extremes,                                                                       2K Australia,                                                                       Feral Interactive (Mac)","2K Games,                                                                       2K,                                                                       Feral Interactive (Mac)",88
Noitu Love 2 Devolution,79,1.32,23-Apr-12,Joakim Sandberg,Joakim Sandberg,80
Soundodger+,77,1.29,11-Oct-13,Studio Bean,Adult Swim Games,78
The Long Dark,77,1.29,1-Aug-17,Hinterland Studio Inc.,Hinterland Studio Inc.,
Super Meat Boy,75,1.25,30-Nov-10,Team Meat,,87
Omerta - City of Gangsters,74,1.24,31-Jan-13,Haemimont Games,Kalypso Media Digital,
Crypt of the NecroDancer,72,1.2,23-Apr-15,Brace Yourself Games,"Brace Yourself Games,                                                                       Klei Entertainment",87
Crash Bandicoot™ N. Sane Trilogy,72,1.2,,,,
Risen 2 - Dark Waters,70,1.17,26-Apr-12,Piranha Bytes,Deep Silver,69
Octodad: Dadliest Catch,70,1.17,30-Jan-14,Young Horses,Young Horses,69
Halo: Spartan Assault,70,1.17,4-Apr-14,"Vanguard Games,                                                                       343 Industries",Microsoft Studios,70
7 Days to Die,66,1.11,13-Dec-13,The Fun Pimps,The Fun Pimps Entertainment LLC,
Sid Meier's Civilization III: Complete,65,1.09,25-Oct-06,Firaxis Games,"2K Games,                                                                       2K",90
Sonic & All-Stars Racing Transformed Collection,65,1.09,,Sumo Digital,SEGA,
STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,64,1.07,15-Dec-09,"LucasArts,                                                                       Aspyr Studios","LucasArts,                                                                       Aspyr (Mac),                                                                       Lucasfilm,                                                                       Disney Interactive",65
Fable III,61,1.02,17-May-11,Lionhead Studios,Microsoft Games Studios,75
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,61,1.02,25-Jun-14,Ubisoft Montpellier,Ubisoft,
Trine,59,0.99,2-Jul-09,Frozenbyte,Frozenbyte,80
Immortal Redneck,58,0.97,25-Apr-17,Crema,Crema,70
Dead Island Riptide,56,0.94,22-Apr-13,Techland,Deep Silver,61
Goat Simulator,56,0.94,1-Apr-14,Coffee Stain Studios,"Coffee Stain Studios,                                                                       Coffee Stain Publishing",62
Beat Hazard,54,0.9,15-Apr-10,Cold Beam Games,Cold Beam Games,70
LUFTRAUSERS,54,0.9,18-Mar-14,Vlambeer,Devolver Digital,80
How to Survive,54,0.9,29-Aug-14,Eko Software,505 Games,60
Zombie Shooter,53,0.89,27-May-09,Sigma Team Inc.,Sigma Team Inc.,
Don't Starve Together,53,0.89,21-Apr-16,Klei Entertainment,Klei Entertainment,83
Genital Jousting,53,0.89,18-Jan-18,Free Lives,Devolver Digital,68
DiRT 3 Complete Edition,52,0.87,,"Codemasters Racing Studio,                                                                       Feral Interactive (Mac)","Codemasters,                                                                       Feral Interactive (Mac)",
NotTheNameWeWanted,52,0.87,2-Jul-15,"Not Games LLP,                                                                       NotGames","Not Games LLP,                                                                       NotGames",
Game of Thrones - A Telltale Games Series,51,0.85,2-Dec-14,Telltale Games,Telltale Games,
Metro 2033,44,0.74,18-Mar-10,4A Games,Deep Silver,81
Mount Your Friends,43,0.72,29-Jul-14,Stegersaurus Software Inc.,Stegersaurus Software Inc.,
STAR WARS™ Republic Commando,42,0.7,8-Jul-09,LucasArts,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",78
Surgeon Simulator,42,0.7,19-Apr-13,Bossa Studios,Bossa Studios,71
Freedom Force,40,0.67,29-May-09,Irrational Games,"2K Games,                                                                       2K",90
Portal,40,0.67,10-Oct-07,Valve,Valve,90
L.A. Noire,40,0.67,8-Nov-11,"Team Bondi,                                                                       Rockstar Leeds",Rockstar Games,83
Braid,38,0.64,10-Apr-09,Number None,Number None,90
Hitman 2: Silent Assassin,37,0.62,15-Mar-07,"IO Interactive,                                                                       Io-Interactive A/S","SQUARE ENIX, Eidos Interactive,                                                                       Io-Interactive A/S",87
Dust: An Elysian Tail,37,0.62,24-May-13,Humble Hearts LLC,Microsoft Studios,
BioShock Remastered,36,0.6,15-Sep-16,"2K Boston,                                                                       2K Australia,                                                                       Blind Squirrel,                                                                       Feral Interactive (Mac)","2K,                                                                       Feral Interactive (Mac)",80
Super Hexagon,36,0.6,27-Nov-12,Terry Cavanagh,Terry Cavanagh,88
Bully: Scholarship Edition,35,0.59,21-Oct-08,Rockstar New England,Rockstar Games,72
Jamestown,35,0.59,8-Jun-11,Final Form Games,Final Form Games,81
Tooth and Tail,35,0.59,12-Sep-17,Pocketwatch Games,Pocketwatch Games,80
Harvest: Massive Encounter,34,0.57,23-Jan-09,Oxeye Game Studio,Oxeye Game Studio,
She Remembered Caterpillars,33,0.56,17-Jan-17,jumpsuit entertainment UG (haftungsbeschränkt),"Ysbryd Games,                                                                       WhisperGames",82
STAR WARS™ Starfighter™,32,0.54,8-Jul-09,LucasArts,"LucasArts,                                                                       Lucasfilm,                                                                       Disney Interactive",71
Gunpoint,32,0.54,3-Jun-13,Suspicious Developments,"Suspicious Developments Ltd,                                                                       Suspicious Developments",83
Operation Flashpoint: Dragon Rising,32,0.54,6-Oct-09,Codemasters Studios,Codemasters,76
Party Hard,32,0.54,25-Aug-15,"Pinokl Games,                                                                       Kverta",tinyBuild,64
Secret of the Magic Crystal,31,0.52,3-Feb-10,"Artery Studios,                                                                       Artery Games","Artery Studios,                                                                       Artery Games",
Hitman: Codename 47,30,0.5,15-Mar-07,"IO Interactive,                                                                       Io-Interactive A/S","SQUARE ENIX, Eidos Interactive,                                                                       Io-Interactive A/S",73
Natural Selection 2,29,0.49,30-Oct-12,Unknown Worlds Entertainment,Unknown Worlds Entertainment,80
Monaco,29,0.49,24-Apr-13,Pocketwatch Games,Pocketwatch Games,83
RUNNING WITH RIFLES,29,0.49,2-Apr-15,"Modulaatio Games,                                                                       Osumia Games","Modulaatio Games,                                                                       Osumia Games",78
Regions Of Ruin,29,0.49,5-Feb-18,Vox,"Poysky Productions,                                                                       Phangd",
BIT.TRIP RUNNER,28,0.47,28-Feb-11,Gaijin Games,Gaijin Games,
POSTAL 2,27,0.45,2-Nov-12,Running With Scissors,Running With Scissors,59
Dead by Daylight,27,0.45,"14 Jun, 2016",Behaviour Digital Inc.,"Starbreeze Studios,                                                                       Starbreeze Publishing AB",71
Galactic Civilizations II: Ultimate Edition,26,0.44,2-Dec-11,Stardock Entertainment,Stardock Entertainment,92
Dwarfs!?,25,0.42,4-May-11,Power of 2,Tripwire Interactive,
Moon Hunters,25,0.42,10-Mar-16,Kitfox Games,Kitfox Games,62
Tidalis,24,0.4,16-Jul-10,"Arcen Games, LLC","Arcen Games, LLC",75
Blood Bowl: Chaos Edition,24,0.4,11-Oct-12,Cyanide Studios,Focus Home Interactive,
Cities in Motion 2,24,0.4,2-Apr-13,Colossal Order Ltd.,Paradox Interactive,72
